"","Property_Sector","Origination_Date","Fixed_Maturity","Recent_NOI","Recent_Value","Orig_Note_Amount","Year_Built","Physical_Occupancy_At_Securitiza","Scheduled_Balloon","FSH","Health","Industrial","LSH","Mixed_Use","Mobile_Home","Multi_family","Office","Other","Retail_Anchored","Retail_Unanchored","Self_Storage","Warehouse","Spread","Inv_Bank_Dummy"
"11829","Multi-family",1997-12-01,2007-12-01,199065.05,1550000,1240000,1984,0.983,1005483.77,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4863,1
"11830","Multi-family",1998-09-01,2008-09-01,166217.65,1500000,1200000,1988,0.972222222,1039562.06,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4463,0
"11831","Retail Anchored",1998-11-01,2008-11-01,205732.95,3e+06,1200000,1920,1,945973.25,0,0,0,0,0,0,0,0,0,1,0,0,0,1.8063,0
"11832","Multi-family",1997-12-01,2007-12-01,184217,1520000,1200000,1986,0.9857,973046.42,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4863,1
"11833","Industrial",1998-10-01,2008-10-01,144605.43,1500000,1120000,1988,0.889227095,886171.79,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8763,0
"11834","Multi-family",1998-08-01,2008-08-01,139410,1600000,1100000,1987,1,884176.56,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5463,0
"11835","Limited Service Hotel",1998-07-01,2008-07-01,227566.84,1850000,1100000,1992,0.712,769439.85,0,0,0,1,0,0,0,0,0,0,0,0,0,2.2113,1
"11836","Multi-family",1997-12-01,2007-12-01,181026.2,1360000,1088000,1987,0.922,882228.54,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4863,1
"11837","Retail Anchored",1999-02-01,2009-02-01,133086.36,1400000,1e+06,1998,0.91,829180.57,0,0,0,0,0,0,0,0,0,1,0,0,0,3.4463,0
"11838","Office",1998-07-01,2008-07-01,147618.85,1390000,1e+06,1986,1,813770.73,0,0,0,0,0,0,0,1,0,0,0,0,0,1.9863,0
"11839","Multi-family",1998-10-01,2008-10-01,101970.92,1300000,975000,1990,0.944,850429.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2263,1
"11840","Office",1998-08-01,2008-08-01,123607.12,1380000,925000,1986,0.945039943,751244.33,0,0,0,0,0,0,0,1,0,0,0,0,0,1.8863,0
"11841","Office",1998-10-01,2008-10-01,144103,1475000,925000,1984,1,633833.56,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4063,0
"11842","Office",1998-09-01,2008-09-01,171343.18,1480000,914000,1971,0.864469392,732047.59,0,0,0,0,0,0,0,1,0,0,0,0,0,1.7363,0
"11843","Multi-family",1997-12-01,2007-12-01,148835.21,1100000,880000,1984,0.964,713566.57,0,0,0,0,0,0,1,0,0,0,0,0,0,1.4863,1
"11844","Multi-family",1998-10-01,2008-10-01,99804.16,1270000,825000,1890,1,711639.87,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8163,0
"11845","Retail Unanchored",1998-08-01,2013-08-01,172429.61,1250000,825000,1990,1,0.25,0,0,0,0,0,0,0,0,0,0,1,0,0,1.6688,0
"11846","Industrial",1998-07-01,2008-07-01,68864.92,1350000,8e+05,-1,0.870056497,556244.4,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0163,0
"11847","Industrial",1998-07-01,2018-07-01,101065.59,1400000,7e+05,1968,1,27807.59,0,0,1,0,0,0,0,0,0,0,0,0,0,1.8863,0
"11848","Multi-family",1998-12-01,2008-12-01,82305.63,950000,675000,1939,0.970588235,537129.01,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8963,0
"11849","Multi-family",1998-08-01,2008-08-01,78430.78,780000,624000,1870,1,547441.79,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6163,0
"11850","Multi-family",1998-12-01,2008-12-01,73801.4,775000,575000,1934,0.964285714,457553.98,0,0,0,0,0,0,1,0,0,0,0,0,0,1.8963,0
"11851","Multi-family",1998-07-01,2008-07-01,80689,685000,520000,1880,1,456033.55,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6363,0
"11852","Multi-family",1995-02-01,2002-02-01,253863,2549991,1900000,1976,0.904,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3288333,0
"11853","Multi-family",1995-06-01,2002-06-01,129285,1419406,1043000,1982,1,973910.11,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1,0
"11854","Multi-family",1995-06-01,2002-06-01,58383,687887,457000,1974,0.945,426727.27,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1,0
"11855","Multi-family",1995-06-01,2013-06-01,652216,7369038,5265000,1961,0.922,3719539.24,0,0,0,0,0,0,1,0,0,0,0,0,0,2.122,0
"11856","Multi-family",1995-06-01,2005-06-01,230522,2775415,1900000,1971,0.985,1688389.65,0,0,0,0,0,0,1,0,0,0,0,0,0,1.874,0
"11857","Multi-family",1995-07-01,2005-07-01,766208,7846050,4500000,1977,0.901,3992460.91,0,0,0,0,0,0,1,0,0,0,0,0,0,2.16,0
"11858","Multi-family",1995-07-01,2002-07-01,322579,3995549,2775000,1974,0.927,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.21,0
"11859","Multi-family",1995-07-01,2002-07-01,318339,4036467,2600000,1975,0.89,2416397.54,0,0,0,0,0,0,1,0,0,0,0,0,0,2.02,0
"11860","Multi-family",1995-07-01,2002-07-01,235285,2694067,1925000,1978,0.9291,1790197.82,0,0,0,0,0,0,1,0,0,0,0,0,0,2.07,0
"11861","Multi-family",1995-07-01,2005-07-01,1194097,13499005,9100000,1973,0.96,8079783.68,0,0,0,0,0,0,1,0,0,0,0,0,0,2.23,0
"11862","Multi-family",1995-07-01,2005-07-01,67685,901580,517000,1973,0.95,459902.84,0,0,0,0,0,0,1,0,0,0,0,0,0,2.25,0
"11863","Multi-family",1995-07-01,2005-07-01,50842,613758,389000,1965,0.877,346038.71,0,0,0,0,0,0,1,0,0,0,0,0,0,2.25,0
"11864","Multi-family",1995-07-01,2005-07-01,63137,666812,483000,1960,0.913,429658.33,0,0,0,0,0,0,1,0,0,0,0,0,0,2.25,0
"11865","Multi-family",1995-09-01,2005-09-01,398164,4205683,3e+06,1969,0.94,2674130.23,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22,0
"11866","Multi-family",1995-07-01,2002-07-01,418912,4703727,3550000,1977,1,3304306.02,0,0,0,0,0,0,1,0,0,0,0,0,0,2.19,0
"11867","Multi-family",1995-08-01,2005-08-01,206063,2371613,1550000,1970,0.9574,1377007.13,0,0,0,0,0,0,1,0,0,0,0,0,0,1.89,0
"11868","Multi-family",1995-08-01,2005-08-01,326487,3695413,2750000,1968,0.9847,2437039.12,0,0,0,0,0,0,1,0,0,0,0,0,0,1.76,0
"11869","Multi-family",1995-08-01,2002-08-01,369133,3496728,2637000,1973,0.911,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.1998333,0
"11870","Multi-family",1995-10-01,2005-10-01,945322,10397307,7100000,1988,0.677,6308773.11,0,0,0,0,0,0,1,0,0,0,0,0,0,2.18,0
"11871","Multi-family",1996-01-01,2006-01-01,111834,1335633,750000,1967,0.99,657527.45,0,0,0,0,0,0,1,0,0,0,0,0,0,2.09,0
"11872","Multi-family",1995-11-01,2002-11-01,617741,6972863,5250000,1965,0.8989,4872387.91,0,0,0,0,0,0,1,0,0,0,0,0,0,2.055,0
"11873","Multi-family",1995-08-01,2005-08-01,535144,5777951,4300000,1972,0.975,3806970.44,0,0,0,0,0,0,1,0,0,0,0,0,0,1.71,0
"11874","Multi-family",1995-09-01,2002-09-01,373207,4344810,3100000,1985,0.996,2887960.56,0,0,0,0,0,0,1,0,0,0,0,0,0,2.05,0
"11875","Multi-family",1995-09-01,2002-09-01,1708458,17846733,13450000,1948,0.956,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.3858333,0
"11876","Multi-family",1995-11-01,2002-11-01,154633,1693594,1275000,1940,0.956,1185415.43,0,0,0,0,0,0,1,0,0,0,0,0,0,2.17,0
"11877","Multi-family",1995-10-01,2005-10-01,172414,1799522,1250000,1971,0.967,1028005.02,0,0,0,0,0,0,1,0,0,0,0,0,0,2.19,0
"11878","Multi-family",1995-11-01,2002-11-01,367816,4100055,3005000,1966,0.94,2784133.89,0,0,0,0,0,0,1,0,0,0,0,0,0,1.95,0
"11879","Multi-family",1995-09-01,2002-09-01,399772,4362046,3200000,1987,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.31,0
"11880","Multi-family",1995-09-01,2002-09-01,264414,3040558,2200000,1984,0.936,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.31,0
"11881","Multi-family",1995-09-01,2002-09-01,600531,6110211,4360000,1978,0.954,4057231.12,0,0,0,0,0,0,1,0,0,0,0,0,0,2.01,0
"11882","Multi-family",1995-11-01,2005-11-01,464386,5859549,4e+06,1985,0.926,3528204.96,0,0,0,0,0,0,1,0,0,0,0,0,0,1.99,0
"11883","Multi-family",1995-11-01,2002-11-01,906190,10521929,7500000,1972,0.968,6955133.44,0,0,0,0,0,0,1,0,0,0,0,0,0,1.97,0
"11884","Multi-family",1995-11-01,2002-11-01,602758,6776009,5034000,1973,0.95,4668285.01,0,0,0,0,0,0,1,0,0,0,0,0,0,2.02,0
"11885","Multi-family",1995-11-01,2002-11-01,256595,3286945,2277000,1980,0.8861,2110473.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1.98,0
"11886","Multi-family",1995-11-01,2002-11-01,321687,3998205,2850000,1985,0.98,2641568.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.98,0
"11887","Multi-family",1995-11-01,2002-11-01,766229,8765188,6600000,1972,0.926,6117314.76,0,0,0,0,0,0,1,0,0,0,0,0,0,1.98,0
"11888","Multi-family",1995-12-01,2013-12-01,97136,1077752,8e+05,1920,1,553910.49,0,0,0,0,0,0,1,0,0,0,0,0,0,2.232,0
"11889","Multi-family",1995-12-01,2013-12-01,159707,1694766,1275000,1928,1,882796.5,0,0,0,0,0,0,1,0,0,0,0,0,0,2.232,0
"11890","Multi-family",1995-12-01,2013-12-01,60771,699311,477000,1928,1,330268.08,0,0,0,0,0,0,1,0,0,0,0,0,0,2.232,0
"11891","Multi-family",1995-12-01,2013-12-01,56953,600884,440000,1920,0.96,304651.56,0,0,0,0,0,0,1,0,0,0,0,0,0,2.232,0
"11892","Multi-family",1995-12-01,2013-12-01,114888,1096613,825000,1918,1,571220.73,0,0,0,0,0,0,1,0,0,0,0,0,0,2.232,0
"11893","Multi-family",1995-12-01,2005-12-01,444138,5183232,3900000,1966,0.97,3439453.46,0,0,0,0,0,0,1,0,0,0,0,0,0,2.202,0
"11894","Multi-family",1995-12-01,2005-12-01,292937,3066916,2e+06,1969,0.991,1762345.95,0,0,0,0,0,0,1,0,0,0,0,0,0,2.16,0
"11895","Multi-family",1995-12-01,2005-12-01,296727,3439459,2450000,1984,0.872,2158441.86,0,0,0,0,0,0,1,0,0,0,0,0,0,2.15,0
"11896","Multi-family",1995-12-01,2002-12-01,252485,2890239,2175000,1971,0.9589,2012732.56,0,0,0,0,0,0,1,0,0,0,0,0,0,2.07,0
"11897","Multi-family",1995-10-01,2005-10-01,189760,2190392,1562000,1984,1,1382903.53,0,0,0,0,0,0,1,0,0,0,0,0,0,1.91,0
"11898","Multi-family",1995-10-01,2002-10-01,364383,4181092,3150000,1890,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.09,0
"11899","Multi-family",1995-12-01,2002-12-01,613374,5947942,4655000,1981,0.94,4308860.61,0,0,0,0,0,0,1,0,0,0,0,0,0,2.09,0
"11900","Multi-family",1995-12-01,2005-12-01,334505,3986906,2800000,1974,0.93,2465701.78,0,0,0,0,0,0,1,0,0,0,0,0,0,2.128,0
"11901","Multi-family",1995-12-01,2002-12-01,245733,3104644,1900000,1971,0.8933,1762426.13,0,0,0,0,0,0,1,0,0,0,0,0,0,2.2,0
"11902","Multi-family",1996-01-01,2006-01-01,1381307,14247298,1e+07,1971,0.92,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.38,0
"11903","Multi-family",1995-10-01,2002-10-01,330829,3315069,2497500,1910,0.965,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.085,0
"11904","Retail Unanchored",1995-10-01,2005-10-01,718942,7679221,5800000,1990,0.916,4735685.1,0,0,0,0,0,0,0,0,0,0,1,0,0,2.019,0
"11905","Retail Unanchored",1995-09-01,2002-09-01,422112,4026336,3e+06,1981,0.766,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1766667,0
"11906","Retail Unanchored",1995-10-01,2005-10-01,421454,4294812,3200000,1982,0.9,2622516.07,0,0,0,0,0,0,0,0,0,0,1,0,0,2.173,0
"11907","Retail Unanchored",1995-12-01,2002-12-01,824139,8349553,6145000,1978,0.995,5023358.59,0,0,0,0,0,0,0,0,0,0,1,0,0,2.58,0
"11908","Industrial",1995-12-01,2002-12-01,706640,8727330,5e+06,1988,0.976,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.5366667,0
"11909","Mixed Use",1996-01-01,2003-01-01,348202,4395391,2400000,1965,0.911,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0666667,0
"11910","Retail Unanchored",1995-11-01,2005-11-01,528993,5553664,3700000,1974,1,2615291.47,0,0,0,0,0,0,0,0,0,0,1,0,0,2.633,0
"11911","Retail Unanchored",1995-12-01,2002-12-01,187943,1975281,1350000,1960,1,1197505.31,0,0,0,0,0,0,0,0,0,0,1,0,0,2.44,0
"11912","Industrial",1996-01-01,2006-01-01,396545,4395831,2700000,1975,0.94,1860822.7,0,0,1,0,0,0,0,0,0,0,0,0,0,2.19,0
"11913","Retail Unanchored",1996-01-01,2003-01-01,512394,4926158,3275000,1984,0.946,2627002.15,0,0,0,0,0,0,0,0,0,0,1,0,0,1.83,0
"11914","Retail Unanchored",1996-02-01,2006-02-01,351579,4087230,2870000,1979,0.892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.4566667,0
"11915","Retail Unanchored",1996-01-01,2006-01-01,384444,4945831,2400000,1920,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.1883333,0
"11916","Retail Unanchored",1996-02-01,2003-02-01,663180,7113989,4425000,1960,0.926,3895485.46,0,0,0,0,0,0,0,0,0,0,1,0,0,2.14,0
"11917","Retail Unanchored",1996-02-01,2006-02-01,167699,1737817,1275000,1990,0.95,883858.16,0,0,0,0,0,0,0,0,0,0,1,0,0,2.37,0
"11918","Retail Unanchored",1996-02-01,2006-02-01,549318,6266703,4275000,1987,1,3449995.11,0,0,0,0,0,0,0,0,0,0,1,0,0,2.16,0
"11919","Office",1996-02-01,2006-02-01,1639052,21793258,3500000,1967,0.915,2750622.48,0,0,0,0,0,0,0,1,0,0,0,0,0,1.23,0
"11920","Industrial",1996-02-01,2006-02-01,1067784,13221308,6500000,1941,0.956,5213218.44,0,0,1,0,0,0,0,0,0,0,0,0,0,1.77,0
"11921","Retail Unanchored",1996-04-01,2006-04-01,1257035,15104650,10583853,1961,0.97,8612324.37,0,0,0,0,0,0,0,0,0,0,1,0,0,1.88,0
"11922","Healthcare",1995-11-01,2015-11-01,515551,5063076,2800000,1992,0.87,1045559.4,0,1,0,0,0,0,0,0,0,0,0,0,0,2.645,0
"11923","Healthcare",1995-12-01,2005-12-01,304231,2700169,1600000,1992,1,1335294.78,0,1,0,0,0,0,0,0,0,0,0,0,0,3.21,0
"11924","Healthcare",1996-01-01,2003-01-01,482184,4094066,3e+06,1994,0.94,2689868.95,0,1,0,0,0,0,0,0,0,0,0,0,0,3.15,0
"11925","Healthcare",1996-02-01,2006-02-01,693103,7268875,3500000,1981,0.883,2878717.52,0,1,0,0,0,0,0,0,0,0,0,0,0,2.82,0
"11926","Healthcare",1995-08-01,2002-08-01,620245,5234038,3850000,1980,0.975,3485953.04,0,1,0,0,0,0,0,0,0,0,0,0,0,3.01,0
"11927","Multi-family",1995-12-01,2005-12-01,923838,10251786,7200000,1972,0.9548,6335527.7,0,0,0,0,0,0,1,0,0,0,0,0,0,1.823,0
"11928","Multi-family",1996-01-01,2006-01-01,671866,7537391,5450000,1951,0.901,4403835.76,0,0,0,0,0,0,1,0,0,0,0,0,0,2.14,0
"11929","Multi-family",1996-01-01,2006-01-01,1425437,15158377,11400000,1989,0.959,9990284.79,0,0,0,0,0,0,1,0,0,0,0,0,0,2.003,0
"11930","Multi-family",1995-12-01,2005-12-01,774701,8330076,5600000,1986,0.968,4917628.47,0,0,0,0,0,0,1,0,0,0,0,0,0,1.823,0
"11931","Multi-family",1995-10-01,2005-10-01,586349,6243110,4715000,1973,0.837,3855481.48,0,0,0,0,0,0,1,0,0,0,0,0,0,1.383,0
"11932","Multi-family",1995-06-01,2005-06-01,1029683,11181582,8100000,1973,0.9034,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.5115,0
"11933","Multi-family",1995-05-01,2005-05-01,534046,5014196,3700000,1971,0.97,3078729.27,0,0,0,0,0,0,1,0,0,0,0,0,0,0.613,0
"11934","Multi-family",1995-07-01,2005-07-01,411472,3958679,3e+06,1976,0.942,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.07525,0
"11935","Multi-family",1996-01-01,2006-01-01,552040,7548570,4390000,1984,0.984,3853490.89,0,0,0,0,0,0,1,0,0,0,0,0,0,2.15,0
"11936","Multi-family",1996-01-01,2006-01-01,313490,3341118,2680000,1974,0.973,2356315.58,0,0,0,0,0,0,1,0,0,0,0,0,0,2.23,0
"11937","Multi-family",1996-01-01,2006-01-01,128805,1687820,1100000,1966,1,967144.74,0,0,0,0,0,0,1,0,0,0,0,0,0,2.23,0
"11938","Multi-family",1996-01-01,2006-01-01,97488,1348865,825000,1963,1,725210.91,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22,0
"11939","Multi-family",1996-01-01,2006-01-01,74107,923675,611250,1965,0.984,537315.55,0,0,0,0,0,0,1,0,0,0,0,0,0,2.22,0
"11940","Multi-family",1996-01-01,2006-01-01,294896,3330724,2505000,1920,0.9781,2192032.66,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
"11941","Multi-family",1995-07-01,2013-07-01,176730,1908159,1632000,1994,1,1133778.22,0,0,0,0,0,0,1,0,0,0,0,0,0,2.076,0
"11942","Multi-family",1995-08-01,2013-08-01,146626,1678299,1350000,1994,0.985,940606.69,0,0,0,0,0,0,1,0,0,0,0,0,0,1.852,0
"11943","Multi-family",1996-01-01,2006-01-01,533744,6320846,4500000,1974,1,3947610.86,0,0,0,0,0,0,1,0,0,0,0,0,0,2.12,0
"11944","Multi-family",1995-07-01,2005-07-01,329468,3974777,2600000,1975,0.98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.29,0
"11945","Multi-family",1996-01-01,2006-01-01,122789,1174156,930000,1959,0.97,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.57,0
"11946","Multi-family",1997-11-01,2007-11-01,3150651.24,37900000,2.8e+07,1989,-1,24738303.63,0,0,0,0,0,0,1,0,0,0,0,0,0,1.5207,0
"11947","Multi-family",1998-03-01,2008-03-01,3818979.37,34500000,26500000,1989,-1,22976929.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0.99575,0
"11948","Multi-family",1997-11-01,2004-11-01,2733533,26100000,18800000,1972,-1,17345920.98,0,0,0,0,0,0,1,0,0,0,0,0,0,1.07575,0
"11949","Multi-family",1998-01-01,2005-01-01,2941460.3,2.5e+07,18750000,1986,-1,17199916.23,0,0,0,0,0,0,1,0,0,0,0,0,0,0.94575,0
"11950","Multi-family",1997-11-01,2002-11-01,2340265,22900000,18200000,1995,-1,17341625.71,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6557,0
"11951","Multi-family",1997-09-01,2007-09-01,2094092.46,22400000,17880000,1984,-1,15870447.91,0,0,0,0,0,0,1,0,0,0,0,0,0,1.19575,0
"11952","Multi-family",1997-02-01,2007-02-01,1949863.73,20800000,17167000,1983,-1,15429454.27,0,0,0,0,0,0,1,0,0,0,0,0,0,1.45075,0
"11953","Multi-family",1998-01-01,2008-01-01,2257309.16,21200000,1.7e+07,1988,-1,14874050.84,0,0,0,0,0,0,1,0,0,0,0,0,0,1.22575,0
"11954","Multi-family",1998-01-01,2008-01-01,1542029.14,1.9e+07,13700000,1996,-1,10943273.29,0,0,0,0,0,0,1,0,0,0,0,0,0,1.08075,0
"11955","Multi-family",1997-12-01,2007-12-01,794357,9625000,7700000,1972,-1,6226792.58,0,0,0,0,0,0,1,0,0,0,0,0,0,1.35575,0
"11956","Multi-family",1997-12-01,2007-12-01,487320.14,5e+06,3880000,1988,-1,3415055.94,0,0,0,0,0,0,1,0,0,0,0,0,0,1.35575,0
"11957","Multi-family",1997-12-01,2007-12-01,254677,2200000,1675000,1987,-1,1474283.05,0,0,0,0,0,0,1,0,0,0,0,0,0,1.35575,0
"11958","Multi-family",1997-12-01,2007-12-01,1139872.03,12300000,9840000,1991,-1,8596115.34,0,0,0,0,0,0,1,0,0,0,0,0,0,1.09075,0
"11959","Multi-family",1998-01-01,2008-01-01,709183.92,1.2e+07,9300000,1980,-1,8143332.12,0,0,0,0,0,0,1,0,0,0,0,0,0,1.25575,0
"11960","Multi-family",1997-06-01,2007-06-01,1212986.53,11900000,8355000,1974,-1,7553826.71,0,0,0,0,0,0,1,0,0,0,0,0,0,1.55075,0
"11961","Multi-family",1998-02-01,2008-02-01,1450646.73,10800000,8225000,1943,-1,6650870.92,0,0,0,0,0,0,1,0,0,0,0,0,0,1.59575,0
"11962","Multi-family",1997-01-01,2007-01-01,972666.26,10500000,7393850,1968,-1,6722203.04,0,0,0,0,0,0,1,0,0,0,0,0,0,2.23075,0
"11963","Multi-family",1997-07-01,2007-07-01,769373.82,8850000,6783000,1989,-1,6121679.17,0,0,0,0,0,0,1,0,0,0,0,0,0,1.76575,0
"11964","Multi-family",1997-06-01,2007-06-01,1428347,12200000,6750000,1974,-1,6106193.21,0,0,0,0,0,0,1,0,0,0,0,0,0,1.55075,0
"11965","Multi-family",1998-02-01,2008-02-01,842128.55,8900000,6710200,1996,-1,5835480.63,0,0,0,0,0,0,1,0,0,0,0,0,0,1.13575,0
"11966","Multi-family",1997-11-01,2002-11-01,724281.36,8540000,6650000,1991,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1.6979792,0
"11967","Multi-family",1998-03-01,2005-03-01,871117,9250000,6400000,1973,-1,5869900.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0.95575,0
"11968","Multi-family",1997-11-01,2007-11-01,677175,7400000,5920000,1983,-1,5234307.12,0,0,0,0,0,0,1,0,0,0,0,0,0,1.52575,0
"11969","Multi-family",1998-01-01,2008-01-01,615648.68,7400000,5850000,1993,-1,5128365.61,0,0,0,0,0,0,1,0,0,0,0,0,0,1.33575,0
"11970","Multi-family",1998-02-01,2008-02-01,732351.15,7500000,5700000,1972,-1,4976660.32,0,0,0,0,0,0,1,0,0,0,0,0,0,1.32575,0
"11971","Multi-family",1997-12-01,2007-12-01,598449.53,6700000,5300000,1986,-1,4648160.99,0,0,0,0,0,0,1,0,0,0,0,0,0,1.19075,0
"11972","Multi-family",1998-01-01,2008-01-01,737438,7900000,5265000,1988,-1,4571980.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1.00575,0
"11973","Multi-family",1998-01-01,2008-01-01,754716.66,8100000,5265000,1987,-1,4571980.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1.00575,0
"11974","Multi-family",1997-11-01,2007-11-01,603318,6550000,5240000,1983,-1,4625071.06,0,0,0,0,0,0,1,0,0,0,0,0,0,1.45675,0
"11975","Multi-family",1998-01-01,2008-01-01,668622.54,6500000,4900000,1970,-1,4293355.82,0,0,0,0,0,0,1,0,0,0,0,0,0,1.28075,0
"11976","Multi-family",1997-11-01,2007-11-01,477674.37,6e+06,4800000,1940,-1,4244032.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.52575,0
"11977","Multi-family",1997-11-01,2007-11-01,695802.69,6315000,4700000,1962,-1,4156133.51,0,0,0,0,0,0,1,0,0,0,0,0,0,1.50575,0
"11978","Multi-family",1998-02-01,2008-02-01,787211.86,8225000,4600000,1991,-1,4029351.21,0,0,0,0,0,0,1,0,0,0,0,0,0,1.41075,0
"11979","Multi-family",1997-11-01,2007-11-01,697744.22,6148000,4600000,1973,-1,4067704.88,0,0,0,0,0,0,1,0,0,0,0,0,0,1.50575,0
"11980","Multi-family",1997-10-01,2007-10-01,669203.79,5850000,4600000,1972,-1,4049450.66,0,0,0,0,0,0,1,0,0,0,0,0,0,1.11575,0
"11981","Multi-family",1998-01-01,2008-01-01,522039,5700000,4600000,1997,-1,3162666.94,0,0,0,0,0,0,1,0,0,0,0,0,0,1.40575,0
"11982","Multi-family",1997-11-01,2007-11-01,530441.41,5700000,4500000,1988,-1,3997009.3,0,0,0,0,0,0,1,0,0,0,0,0,0,1.68575,0
"11983","Multi-family",1997-05-01,2007-05-01,867067.9,6030000,4500000,1987,-1,3825316.93,0,0,0,0,0,0,1,0,0,0,0,0,0,2.05075,0
"11984","Multi-family",1997-02-01,2007-02-01,131280.64,5630000,4400000,1972,-1,3684941.47,0,0,0,0,0,0,1,0,0,0,0,0,0,1.80575,0
"11985","Multi-family",1997-12-01,2007-12-01,583144.51,5400000,4340000,1973,-1,3827210.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1.40575,0
"11986","Multi-family",1998-01-01,2008-01-01,909813.22,7560000,4300000,1985,-1,3759807.48,0,0,0,0,0,0,1,0,0,0,0,0,0,1.25075,0
"11987","Multi-family",1998-01-01,2008-01-01,590426.31,5250000,4200000,1986,-1,3699868.08,0,0,0,0,0,0,1,0,0,0,0,0,0,1.51575,0
"11988","Multi-family",1997-11-01,2002-11-01,645524,6440000,4200000,1988,-1,4006674.95,0,0,0,0,0,0,1,0,0,0,0,0,0,1.69075,0
"11989","Multi-family",1997-10-01,2007-10-01,597744.98,5225000,4150000,1980,-1,3691294.06,0,0,0,0,0,0,1,0,0,0,0,0,0,1.55575,0
"11990","Multi-family",1998-01-01,2008-01-01,560605.95,5150000,4100000,1967,-1,3579298.9,0,0,0,0,0,0,1,0,0,0,0,0,0,1.16575,0
"11991","Multi-family",1997-12-01,2007-12-01,423186.32,4900000,3920000,1962,-1,3441168.82,0,0,0,0,0,0,1,0,0,0,0,0,0,1.27775,0
"11992","Multi-family",1997-10-01,2007-10-01,487641,5e+06,3920000,1973,-1,3504417.84,0,0,0,0,0,0,1,0,0,0,0,0,0,1.76575,0
"11993","Multi-family",1998-01-01,2008-01-01,638714.55,5900000,3850000,1986,-1,3354846.91,0,0,0,0,0,0,1,0,0,0,0,0,0,1.09575,0
"11994","Multi-family",1997-12-01,2007-12-01,608943.52,4350000,3400000,1962,-1,2985687.8,0,0,0,0,0,0,1,0,0,0,0,0,0,1.29075,0
"11995","Multi-family",1997-12-01,2007-12-01,430418.6,4250000,3400000,1963,-1,2771809.02,0,0,0,0,0,0,1,0,0,0,0,0,0,1.60075,0
"11996","Multi-family",1998-01-01,2008-01-01,472820.45,4200000,3300000,1980,-1,2886939.28,0,0,0,0,0,0,1,0,0,0,0,0,0,1.24575,0
"11997","Multi-family",1997-11-01,2007-11-01,494375.76,3975000,3300000,1987,-1,2902723.75,0,0,0,0,0,0,1,0,0,0,0,0,0,1.29575,0
"11998","Multi-family",1997-10-01,2007-10-01,286264.66,4350000,3250000,1967,-1,2904062.52,0,0,0,0,0,0,1,0,0,0,0,0,0,1.72075,0
"11999","Multi-family",1997-06-01,2007-06-01,592409.73,4920000,3256000,1925,-1,2770709.75,0,0,0,0,0,0,1,0,0,0,0,0,0,2.24075,0
